Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (minutes),Genre,Rank
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28099,10378.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",240.0,Metaphysical & Visionary Fiction,1
How to Win Friends and Influence People,Dale Carnegie,4.5,20872,668.0,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times. ",485.0,Communication & Social Skills,1
"Thinking, Fast and Slow",Daniel Kahneman,4.4,9774,1093.0,Brought to you by Penguin.,1201.0,Business Decision Making & Problem Solving,1
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,6,3037.0,"Now updated to include Chapter Name Information, so you can easily find your favourite story or novel",4317.0,Private Investigator Mysteries,1
Becoming,Michelle Obama,4.6,13848,1093.0,Penguin presents the audiobook edition of Becoming by Michelle Obama.,1143.0,Women Biographies,1
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,4.0,37,0.0,"The protagonist of Just Do It is Phil Knight, a reclusive billionaire who started a two-man operation importing Japanese running shoes and built it into a $4 billion company. Irreverent, unpredictable, and leery of the sports establishment, Knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors Reebok and Adidas. To outsiders, Nike was a cult. Insiders believed they were furthering the company's mission: to improve the performance of serious athletes. ",840.0,Popular Culture Studies,1
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72,1005.0,"Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire Hathaway. The first two editions of The Warren Buffett Way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend Warren E. Buffett. Tracing Warren Buffett's career from the beginning, Hagstrom told listeners exactly how, starting with an initial investment of only $100 Buffett built a business empire and has an estimated net worth of $44 billion. The Third Edition of The Warren Buffett Way will focus on the timeless principles and strategies behind Buffett's extraordinary investment success. There will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of Warren Buffett. Some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling Buffett's success formula in a way that will provide value to listeners for decades to come.",631.0,Business Careers,1
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2810,1093.0,Brought to you by Penguin.,701.0,Political Science History & Theory,1
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,949,10378.0,Secrets of the Millionaire Mind reveals the missing link between wanting success and achieving it! ,310.0,Entrepreneurship,1
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419,668.0,"We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement. ",356.0,Personal Finance,4
Elon Musk,Ashlee Vance,4.5,6456,888.0,Brought to you by Penguin.,803.0,Biographies of Science & Technology Leaders,1
The Monk Who Sold His Ferrari,Robin Sharma,4.6,7573,351.0,"Author Robin Sharma reads this international best-seller, allowing you to gain the wisdom and lessons from the original book while you commute. This abridged audiobook is one of Sharma Leadership International's all-time best-selling audio products.",160.0,Christianity,1
The Power of Your Subconscious Mind,Joseph Murphy,4.5,18330,99.0,"""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.",433.0,New Thought Spirituality,1
Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4477,836.0,"Without the darkness, light has no purpose. ",692.0,Fiction Sagas,1
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6702,888.0,Brought to you by Penguin.,653.0,Organisational Behaviour,1
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11213,836.0,"For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America. ",817.0,Biographies & Memoirs,7
Zero to One,Peter Thiel,4.4,5306,615.0,"What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar. ",290.0,Business Management,1
My Gita,Devdutt Pattanaik,4.2,1241,501.0,"In My Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary reader. His unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible. ",375.0,Philosophy,1
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11864,999.0,"""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'."" ",573.0,Family Life Fiction for Children,1
Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,4.7,6440,888.0,Brought to you by Penguin.,487.0,Meetings & Presentations,1
Chanakya Neeti,Acharya Chanakya,4.4,92,668.0,"Chanakya was an Indian teacher, philosopher, and royal advisor. He managed the first Maurya emperor Chandragupta’s rise to power at a young age. He is widely credited for having played an important role in the establishment of the Maurya Empire, which was the first empire in archaeologically recorded history to rule most of the Indian subcontinent.",302.0,Biographies & Memoirs,5
The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t,Shwetabh Gangwar,4.5,2076,501.0,"Shwetabh Gangwar is a professional problem-solver - and he’s ace at it. For the past five years, people from all over the world have contacted him with their troubles, and he’s worked these out for them.",291.0,Self-Esteem,2
Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.),Simon Sinek,4.5,3823,820.0,"Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their successes over and over? ",432.0,Leadership,2
The Tatas: How a Family Built a Business and a Nation,Girish Kuber,4.4,53,668.0,Winner of the Gaja Capital Business Book Prize 2019,581.0,Biographies of Business Leaders,4
Hyperfocus,Chris Bailey,4.5,155,323.0,"Our attention has never been as overwhelmed or in demand as it is today; we've never been so busy while accomplishing so little, and we've grown uncomfortable with boredom and a lack of stimulation and distraction.",399.0,Time Management,1
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.7,2361,750.0,An instant New York Times best seller and number one Wall Street Journal best seller,777.0,Memory Improvement,2
Meri Gita,Devdutt Pattanaik,4.2,129,668.0,"In Meri Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary listener. His unique approach - thematic rather than verse-by-verse - makes the ancient treatise eminently accessible.In a world that seems spellbound by argument over dialogue, vi-vaad over sam-vaad, Devdutt highlights how Krishna nudges Arjuna to understand rather than judge his relationships. This becomes relevant today when we are increasingly indulging and isolating the self (self-improvement, self-actualization, self-realization - even selfies!) We forget that we live in an ecosystem of others, where we can nourish each other with food, love and meaning, even when we fight. ",459.0,Eastern Philosophy,2
The Unusual Billionaires,Saurabh Mukherjea,4.4,287,1005.0,What makes a company truly outstanding?,552.0,Literary Essays,2
To Kill a Mockingbird,Harper Lee,4.5,19930,888.0,Brought to you by Penguin. ,-60.0,Meditation,999
A Space of Her Own: Personal Narratives of Twelve Women,Leela Gulati,3.4,9,0.0,"Focusing on relationships between women of different generations in India, this book is comprised of narratives demonstrating how each contributor established her own personhood through engagement with a wider kin group.",671.0,Women Biographies,1
The Tales of Beedle the Bard,J.K. Rowling,4.6,3687,652.0,"Written by J.K. Rowling. Read by Sally Mortemore, Warwick Davis, Evanna Lynch, Jason Isaacs, Bonnie Wright, Noma Dumezweni and Jude Law.",95.0,Action & Adventure Fiction for Teens,1
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,4.1,7,888.0,"Hard work is irrelevant. Be radically honest. Adequate performance gets a generous severance. And never, ever try to please your boss. These are some of the ground rules if you work at Netflix. They are part of a unique cultural experiment that explains how the company has transformed itself at lightning speed from a DVD mail-order service into a streaming superpower - with 125 million fervent subscribers and a market capitalisation bigger than Disney.",582.0,Workplace Culture,1
Think and Grow Rich,Napoleon Hill,4.5,22330,166.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",615.0,Economics,1
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.5,5304,1093.0,Brought to you by Penguin.,893.0,Future Studies,1
Inglorious Empire: What the British Did to India,Shashi Tharoor,4.5,301,752.0,"Penguin presents the audiobook edition of Inglorious Empire, written and read by Shashi Tharoor. ",633.0,Indian History,1
Hitchhiker's Guide to the Galaxy,Douglas Adams,4.5,2449,323.0,"A much loved science-fiction classic, this entertaining intergalactic adventure has a lot going for it - including narration by British comedian Stephen Fry. Adams displays his talents for a creating a whole new world in this first of five audiobooks in the Hitchhiker's Guide to the Galaxy series. Packed with brilliant humour, extraordinary characters and a highly original storyline, it's no wonder that this novel is a favourite of so many. ",-60.0,LGBT Biographies,999
Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,4.5,4243,1093.0,Brought to you by Penguin.,522.0,Society & Culture,29
"Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex",John Gray,4.5,3935,13345.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Autobiography of a Yogi,Paramahansa Yogananda,4.6,2233,1126.0," This audio edition, featuring Academy Award winner Ben Kingsley's masterful narration, contains the complete text of Paramahansa Yogananda's life story, an absorbing account of a singular search for Truth. Yogananda describes his experiences with modern-day saints and illuminated masters of India, and presents a definitive introduction to the whole science and philosophy of Yoga.",-60.0,Stocks,999
Hit Refresh,Satya Nadella,4.4,837,13442.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
A Gentleman in Moscow,Amor Towles,4.6,16239,873.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
A Game of Thrones: Book 1 of A Song of Ice and Fire,George R. R. Martin,4.7,13129,18149.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
The 10X Rule: The Only Difference Between Success and Failure,Grant Cardone,4.6,2706,703.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,4.6,1884,11862.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
The Bhagavad Gita,Eknath Easwaran,4.7,1988,280.0,"The Bhagavad Gita, ""The Song of the Lord"", is the best known of all the Indian scriptures, and Easwaran's reliable and accessible version has consistently been the best-selling translation. Easwaran's introduction places the Gita in its historical setting and brings out the universality and timelessness of its teachings. Chapter introductions give clear explanations of key concepts in that chapter. To listen to the scripture without the introductions, listeners should start at track 044. The Bhagavad Gita opens dramatically on a battlefield, as the warrior Arjuna turns in anguish to his spiritual guide, Sri Krishna, for answers to the fundamental questions of life. But as Easwaran points out, the Gita is not what it seems - it's not a dialogue between two mythical figures at the dawn of Indian history. ""The battlefield is a perfect backdrop, but the Gita's subject is the war within, the struggle for self-mastery that every human being must wage"" to live a life that is meaningful, fulfilling, and worthwhile. This audio recording is a complete and unabridged reading of Eknath Easwaran's book The Bhagavad Gita. ",-60.0,Philosophy,999
Mythos,Stephen Fry,4.6,2570,1093.0,"Step into another world - of magic, mayhem, monsters and maniacal gods - in Stephen Fry’s momentous Sunday Times best-seller Mythos, brought to you by Penguin.",-60.0,Literary History & Criticism,999
Take Control of Your Life: How to Silence Fear and Win the Mental Game,Mel Robbins,3.9,10,1003.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,4.7,5509,1599.0,"""'You are sharing the Dark Lord's thoughts and emotions. The Headmaster thinks it inadvisable for this to continue. He wishes me to teach you how to close your mind to the Dark Lord.'"" ",1818.0,Family Life Fiction for Children,4
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,4.7,7018,1599.0,"""There it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark Death Eaters left behind whenever they had entered a building...wherever they had murdered...."" ",1287.0,Family Life Fiction for Children,5
A Suitable Boy (Dramatised),Vikram Seth,4.4,544,888.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Dr. Joseph Murphy,4.5,2295,668.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,4.7,5417,1599.0,"""'There will be three tasks, spaced throughout the school year, and they will test the champions in many different ways...their magical prowess - their daring - their powers of deduction - and, of course, their ability to cope with danger.'"" ",1337.0,Family Life Fiction for Children,2
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,4.4,3350,1005.0,"Most startups fail. But many of those failures are preventable. The Lean Startup is a new approach being adopted across the globe, changing the way companies are built and new products are launched.",518.0,Small Businesses,1
"Trading in the Zone: Master the Market with Confidence, Discipline, and a Winning Attitude",Mark Douglas,4.7,1041,879.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Learn English: Word Power 101: Absolute Beginner English #1,Innovative Language Learning,3.6,230,0.0,Master English with Learn English - Word Power 101. This audiobook is a completely new way to learn English vocabulary fast - and for free! Start speaking English in minutes with the powerful learning methods you will master in this book. ,2220.0,English Language Learning,1
Range: How Generalists Triumph in a Specialized World,David Epstein,4.6,1252,323.0,"Range is the groundbreaking and exhilarating exploration into how to be successful in the 21st century, from David Epstein, the acclaimed author of The Sports Gene.",617.0,Creativity & Genius,1
Man's Search for Meaning,Viktor E. Frankl,4.4,12868,468.0,"Internationally renowned psychiatrist, Viktor E. Frankl, endured years of unspeakable horror in Nazi death camps. During, and partly because of, his suffering, Dr. Frankl developed a revolutionary approach to psychotherapy known as logotherapy. At the core of his theory is the belief that man's primary motivational force is his search for meaning. ",284.0,Philosophy,6
Everything Is F*cked: A Book About Hope,Mark Manson,4.3,2351,10378.0,From the author of the international mega-best-seller The Subtle Art of Not Giving A F*ck comes a counterintuitive guide to the problems of hope. ,422.0,Satire Fiction,1
The Anarchy: The Relentless Rise of the East India Company,William Dalrymple,4.6,1367,1138.0,"Bloomsbury presents The Anarchy by William Dalrymple, read by Sid Sagar.",943.0,Military History,1
The Alchemist (Hindi Edition),Paulo Coelho,4.4,796,668.0,"अंदलुशिया में रहनेवाले एक आम चरवाहे सैंतियागो की ये कहानी स्पेन से होते हुए मिस्र के रेगिस्तान जा पहुँचती है। जादुई रस-विधा, यानी ऐल्केमी, की तलाश में निकला ये युवा लड़का रास्ते में कई ज्ञानी दार्शनिकों और आध्यात्मिक गुरुओं से मिलता है। ज़िन्दगी बदल देनेवाले इस सफ़र की मंज़िल पर चरवाहे लड़के की मुलाक़ात जिस ऐल्केमिस्ट से होती है, वो न सिर्फ़ लड़के की, बल्कि हम सब की ज़िन्दगी बदल देने की काबिलियत रखता है। ",396.0,Literary Fiction,5
The Girl on the Train,Paula Hawkins,4.0,70077,888.0,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy. ",657.0,Psychological Thrillers,2
Wings of Fire,APJ Abdul Kalam,4.6,70,75.0,“We are all born with a divine fire in us. Our efforts should be to give wings to this fire”. President Kalam’s inspiring autobiography has touched the hearts of people all over the world. The book talks about the his humble beginnings in a small village in Tamil Nadu and his ascent to one of the most powerful positions in the country. ,75.0,Biographies of Presidents & Heads of State,1
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,4.4,3663,1506.0,"The latest groundbreaking tome from Tim Ferriss, the number-one New York Times best-selling author of The 4-Hour Workweek. ",1361.0,Developmental Psychology,1
A Brief History of Time: From Big Bang to Black Holes,Stephen Hawking,4.6,5361,888.0,Brought to you by Penguin.,417.0,Physics,1
Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success,Marie Forleo,4.8,1856,888.0,Brought to you by Penguin.,474.0,Lifestyle & Personal Style Guides,5
Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,4.5,2,836.0,"This is a Hindi translation of famous best-selling classic Think and Grow Rich. Napoleon Hill in this book defines the process by which listeners can achieve not just economic success but success in all aspects of life. He asserts that it is our mind and thoughts that shape our actions and that leads to success or failure in any venture and the author reveals the secret to its reader through this book of how we can give real shape to our dreams and aspiration through right thought, right action and right inspiration. Get a copy of this audiobook and embark on an enriching experience that will inspire and motivate you to work hard and achieve your goals.",670.0,Personal Success,21
"Loaded: Money, Psychology, and How to Get Ahead Without Leaving Your Values Behind",Sarah Newcomb,4.4,62,586.0,YOUR MOST VALUABLE ASSET...IS YOU. LOADED WILL TEACH YOU HOW TO MAKE THE MOST OF IT.  ,414.0,African American History,1
1984,George Orwell,4.5,16938,797.0,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered. ",739.0,Dystopian Science Fiction,1
Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit Banerjee,4.5,950,1093.0,Brought to you by Penguin. ,884.0,Globalisation Money & Finance,1
Poirot's Finest Cases: Eight Full-Cast BBC Radio Dramatisations,Agatha Christie,4.8,27,1093.0,John Moffatt stars as the Belgian detective Hercule Poirot. ,937.0,Mystery Anthologies & Short Stories,999
The Girl in Room 105,Chetan Bhagat,4.3,6638,568.0,"Hi, I'm Keshav, and my life is screwed. I hate my job and my girlfriend left me.",503.0,Psychological Thrillers,1
"Talk English: The Secret To Speak English Like A Native In 6 Months For Busy People, Learn Spoken English From The Success",Ken Xiao,4.0,621,233.0,"You have studied English for years, yet you still don't speak English well. You've tried many methods and you still make grammar mistakes, you still can't speak English fluently, and you still can't pronounce English words correctly. You can read English, but you feel too nervous or too shy to speak English. ",77.0,English Language Learning,1
Eat That Frog!,Brian Tracy,4.5,2081,351.0,"There just isn't enough time for everything on our to-do list - and there never will be. Successful people don't try to do everything. They learn to focus on the most important tasks and make sure those get done. They eat their frogs. There's an old saying that if the first thing you do each morning is eat a live frog, you'll have the satisfaction of knowing you're done with the worst thing you'll have to do all day. For Tracy, eating a frog is a metaphor for tackling your most challenging task - but also the one that can have the greatest positive impact on your life. Eat That Frog! shows you how to organize each day so you can zero in on these critical tasks and accomplish them efficiently and effectively.",157.0,Time Management & Productivity,2
Zen: The Art of Simple Living,Shunmyo Masuno,4.7,253,752.0,Penguin presents the audiobook edition of Zen by Shunmyo Masuno. ,157.0,Zen Buddhism,1
Anxious People,Fredrik Backman,4.5,18,888.0,Brought to you by Penguin.,592.0,Humorous Fiction,2
Outliers: The Story of Success,Malcolm Gladwell,4.3,4439,500.0,"In this stunning new book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers"" - the best and the brightest, the most famous and the most successful. He asks the question: what makes high achievers different? His answer is that we pay too much attention to what successful people are like and too little attention to where they are from: that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band. ",438.0,Social Psychology,1
Market Wizards: Interviews with Top Traders,Jack D. Schwager,4.6,608,836.0,"IMPORTANT UPDATE: This audio is the new recording by DJ Holte, which replaced the original inferior recording and also contains text that was added in the 2012 revised edition of Market Wizards. ",881.0,Stocks,2
365 Panchatantra Stories,Adil Mukesh,4.2,424,668.0,The stories of Panchatantra are ancient Indian fables that were written in Sanskrit and Pali languages. The central characters in these fascinating fables are many times animals and birds. They show their most identifying characteristics in the various stories and impart valuable life lessons and morals. ,449.0,Literary Criticism for Children,2
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.6,7255,585.0,What is the nature of space and time? How do we fit within the universe? How does the universe fit within us? There's no better guide through these mind-expanding questions than acclaimed astrophysicist and best-selling author Neil deGrasse Tyson. ,221.0,Physics,3
365 Tales of Indian Mythology,Om Books International,4.4,238,836.0,"One treat a day! A 23-volume series of 365 treats: stories, facts, questions and answers, and science experiments for young listeners.",601.0,Literary Criticism for Children,1
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",Anil Lamba,4.6,459,668.0,"There is no such thing as a non-finance person. It is an error to think that finance management is limited to the Finance Department alone. In fact, it is happening right through the organization - for every action you take impacts the bottom line of your company. Listen to this book to understand what profit really means and how inventory and sales impact it. Learn to read balance sheets and deploy funds intelligently. Make the most efficient use of your working capital and discover the simple secrets of marginal costing, leverage and funds flow. Written in a simple conversational style, romancing the balance sheet will teach you all the intelligent ways of good financial management.",327.0,Education,1
Yuval Noah Harari: Audible Sessions: FREE Exclusive Interview,Robin Morgan,4.7,18,0.0,"Professor Yuval Noah Harari is a lecturer at the Department of History at the Hebrew University of Jerusalem. Gaining his PhD from Oxford University, he has published several books and articles. His most recent works comprise the international bestseller Sapiens: A Brief History of Humankind and, most recently Homo Deus: A Brief History of Tomorrow. ",1140.0,Biographies of Authors,1
The Dhandho Investor: The Low-Risk Value Method to High Returns,Mohnish Pabrai,4.3,826,469.0,A comprehensive value-investing framework for the individual investor.,304.0,Investing & Trading,7
The Design of Everyday Things: Revised and Expanded Edition,Don Norman,4.3,1378,500.0,"Design doesn't have to be complicated, which is why this guide to human-centered design shows that usability is just as important as aesthetics. ",639.0,Architecture,1
The Story of My Experiments with Truth: An Autobiography,M. K. Gandhi,4.5,409,1093.0,"To mark the 150th anniversary of Gandhi's birth, DK presents the audiobook of The Story of My Experiments with Truth: An Autobiography, narrated by Sagar Arya.",1227.0,Historical Biographies,1
Who Will Cry When You Die? (Hindi): Life Lessons from the Monk Who Sold His Ferrari,Robin Sharma,4.4,217,668.0,"""When you were born, you cried while the world rejoiced. Live your life in such a way that when you die, the world cries while you rejoice."" (Ancient Sanskrit saying) ",309.0,Personal Success,35
Hooked: How to Build Habit-Forming Products,Nir Eyal,4.6,1754,501.0,"Note to Audible Listeners: As of December 2019, this version of the Hooked audiobook has been revised and rerecorded to greatly improve audio quality. Please disregard any reviews mentioning poor audio quality prior to December 2019.",280.0,Consumer Behaviour,2
Azadi: Freedom. Fascism. Fiction.,Arundhati Roy,3.0,50,888.0,Brought to you by Penguin.,374.0,Fascism,1
The Law of Success,Napoleon Hill,4.4,850,32.0,"The Law of Success was a precursor to Napoleon Hill's Think and Grow Rich. Hill was well known for researching what made millionaires different from the common man. The sixteen lessons in this book perfectly crystallize everything you will need to know to succeed during these hard economic times. Many of today's best known self help books take there core concepts form this book. The Secret, the Power of Positive Thinking, the Millionaire next door, and The Law of Attraction all take their basic premises from this landmark work. Now you can get it from the source. ",1436.0,Personal Success in Business,31
48 Laws of Power,Robert Greene,4.4,2097,820.0,"Amoral, cunning, ruthless, and instructive, this piercing work distills 3,000 years of the history of power into 48 well-explicated laws. This bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of Machiavelli, Sun Tzu, Carl von Clausewitz, and other infamous strategists. The 48 Laws of Power will fascinate any listener interested in gaining, observing, or defending against ultimate control. ",1386.0,Ethics & Morality Philosophy,1
Alibaba: The House That Jack Ma Built,Duncan Clark,4.3,592,13345.0,An engrossing insider's account of how a teacher built one of the world's most valuable companies - rivaling Walmart and Amazon - and forever reshaped the global economy. ,549.0,E-Commerce,1
